IntStdWv,Sample,Si29_CPS,Ca_ppm_m43,43CaO wt%,Ca_ppm_m44,44CaO wt%,Ti_ppm_m49,49TiO2,Ga_ppm_m69,Ga_ppm_m71,Rb_ppm_m85,Sr_ppm_m88,Y_ppm_m89,Zr_ppm_m90,Zr_ppm_m91,Nb_ppm_m93,Cs_ppm_m133,Ba_ppm_m137,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m146,Sm_ppm_m147,Eu_ppm_m153,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m163,Ho_ppm_m165,Er_ppm_m166,Tm_ppm_m169,Yb_ppm_m172,Lu_ppm_m175,Hf_ppm_m178,Ta_ppm_m181,Pb_ppm_m208,Th_ppm_m232,U_ppm_m238
32.6,NIST610 - 8,2280000,80300,11.24,81300,11.38,509,0.08,435,443.3,421.5,507,447,430,435,473,371.5,451,436,445,424,427,449,437,419,438,430,457,440,448,447,436,407,452.8,422.4,457,467
32.6,NIST610 - 9,2160000,81100,11.35,82100,11.49,488,0.08,435.1,444,421.4,510,451,433,439,468.7,366.3,455,435,448,439,432,462,446,427,442,415,458,443,442,434,435,414,452,421.3,461,463
32.6,NIST610 - 10,2250000,79000,11.05,81100,11.35,497,0.08,434.4,429.8,419.4,503.8,438,442,450,451.7,359.6,444,430.6,439,448,434,453,443.2,407,437.9,437,450,445.5,433.6,455,426,413,452.9,413,442.1,453.7
32.6,NIST610 - 11,2110000,81800,11.45,81700,11.43,509,0.08,436,426.3,425.7,508,444,448,449,460,362.6,450,431,442,451,435,462,437,422,443,429,456,447,429,460,427,422,452,412,442,458.7
32.6,NIST610 - 12,2150000,83100,11.63,81300,11.38,510,0.09,437.2,432,424.1,504,443,440,455,465.4,368.7,443,432,446.1,444.3,450,473,443,439,436,405,448,455,459,456,439,428,457.4,410.8,440.2,459.8
32.6,NIST610 - 13,2080000,84300,11.8,80500,11.26,513,0.09,447.5,429.3,432.7,522,452,440.7,461,465.4,373.4,441,443.3,451.4,447.7,443,470,449.4,451,443,419,446.7,459,447,455,437,425,455.4,417,441,460
32.6,NIST610 - 14,1650000,82400,11.53,82700,11.57,487,0.08,440,425,421,515,452,426.5,441,456.5,366.5,443,431,449,439,427,447,445,442,436,461,446,427,385,467,426,424,449,416,445,445
32.6,NIST610 - 15,1670000,81100,11.35,80400,11.25,499,0.08,427,424.3,414.5,518,447,422,433,448.8,360.5,437,430,450.6,432.2,415,445,437.1,446,429,444,447,420.2,389,455,416,417,440,407,443,443.7
32.6,NIST610 - 16,1720000,81400,11.39,81200,11.36,507,0.08,432.7,432.9,413.7,513,448,427.9,436,451,361.4,426,434,443.9,433,426,447,431,447,436,436,446,426,398,460,427,419,449.5,414,446,451
32.6,NIST610 - 17,1670000,82400,11.53,83200,11.64,500,0.08,431.8,425,417,513,455,443,446,459.9,365.9,430,437.5,439,441,428,464,440.5,439,439,392,450,437,442,459,444,423,453,413.7,457,458.9
32.6,NIST610 - 18,1700000,80700,11.29,83200,11.64,497,0.08,439.9,434.5,418.8,516,459,440.2,451,455.4,369.2,428,443,453.9,454,434,452,439,438,440,403,446,432,436,466,443,421,451,419.4,469,457
32.6,NIST610 - 19,1620000,82700,11.57,83700,11.71,531,0.09,437.6,428.9,422.7,518,456,437,455,459.6,372.7,436,445.7,452,455,441,459,449,434,442,425,448,434,429,457,440,420,451.9,424.6,460,463.8
32.6,NIST610 - 20,1655000,82200,11.5,79300,11.1,504,0.08,426.5,431,418.1,510,462,442,459,471,368.7,427,446,443,448,434,460,451,410,438,474,435,442,411,454,442,407,458,423,446,449.9
32.6,NIST610 - 21,1580000,81100,11.35,79300,11.1,490,0.08,424.6,436.1,421.4,502,460,441.1,446,468,364.6,439,439.1,443,448.1,437,454,445.4,414,437.8,472,434,436,411.3,442,436.5,407,454.9,425.6,434,450.3
32.6,NIST610 - 22,1548000,80600,11.28,79800,11.17,510,0.09,437.9,447.8,423,507,457,440,450,470,372.3,429,444,449,449,441,458,454,414,431,463,433,427,418,445,435,415,451,427.3,447,457
32.6,NIST610 - 23,1576000,80800,11.31,80400,11.25,488,0.08,437,441.8,422.6,505,460,442,464,479.9,373.3,426,445,450,450,435,470,449,405,439,459,434,437,422,446,436,421,459,421.5,444,458
32.6,NIST610 - 24,1635000,80700,11.29,80900,11.32,499,0.08,443,436,424.4,510,466,446,459,484,372,434,450,451,448,434,470,457,408,439,452,438,437,425,439,428,418,453,427.5,449,455.5
32.6,NIST610 - 25,1589000,81100,11.35,82200,11.5,507,0.08,440.3,444,426,518,465,444,455,482,374.1,445,443,451,446.7,433,473,461,410,438,443,435,442,431,450,435,431,460,421,447,455.2
32.6,NIST610 - 26,1560000,79600,11.14,83300,11.66,515,0.09,440,439,425.7,511,467,443,462,475,368.1,436,444,451,447,438,466,455,408,435,435,434,435,432,439,435,434,454,425,450,462.9
,AVE,1961654,81319,11.38,81327,11.38,498,0.08,434.6,434.8,418.4,509.8,454.3,436.1,448.2,466,368.2,441.7,437.5,447.1,442.1,430.2,454.7,444.1,426.6,437,433.2,442.4,436.5,428,451.3,434.9,421.7,449.2,418.5,450.4,456.5
,STDEV,403119,1122,0.16,1234,0.17,14,0,6.4,7.7,7.5,6.7,7.2,7.8,9.5,9.3,4.4,11.2,6.7,5.3,8.7,10.8,13.4,7.6,14.4,4.1,20.9,8.2,11.4,21.8,8.8,8,11,8.9,5.7,11.2,8.4
,Working ,GEOREM,,11.4,,11.4,,,,433,425.7,515.5,462,448,,465,366,452,440,453,448,430,453,447,449,437,437,449,455,435,450,439,435,446,426,457.2,461.5
,values,,,0.2,,0.2,,,,13,1,1,11,9,,34,9,9,10,8,7,8,11,12,12,9,11,12,14,10,9,8,12,33,1,1,1
